"","sub","item","cond","seq","trialStart","trialEnd","sound","sound_type","regionS","regionE","regionN1","tBnd","tSFIX","ISI","nextFlag","delBnd","delFix","prevFix","nextFix","prevGood","onTarget","inRegion","hook","blink"
"98",1,40,1,20,2821865,2825397,3,NA,513,583,639,2822892,2822912,764,"ESACC",1,-6,383,517,"Yes","Yes","Yes","No","No"
"99",1,40,1,20,2821865,2825397,4,NA,639,765,821,2823135,2823155,243,"ESACC",1,-6,517,652.9,"Yes","Yes","Yes","No","No"
"100",1,40,1,20,2821865,2825397,5,NA,821,919,1920,2824763,2824795,1628,"ESACC",2,-18,752.5,956.5,"Yes","No","Yes","No","No"
"101",1,8,1,21,2828253,2833543,1,NA,177,289,359,2828494,2824795,NA,"ESACC",NA,3713,69.3,157.3,"Yes","No","No","Yes","No"
"102",1,8,1,21,2828253,2833543,2,NA,359,443,499,2828878,2828885,384,"ESACC",2,7,217.1,341.8,"Yes","No","No","Yes","No"
"103",1,8,1,21,2828253,2833543,3,NA,499,667,793,2829129,2829135,251,"ESACC",2,8,341.8,477.5,"Yes","No","No","Yes","No"
"104",1,8,1,21,2828253,2833543,4,NA,793,905,933,2830857,2830887,1728,"ESACC",1,-16,734.7,900.9,"Yes","Yes","Yes","No","Yes"
"105",1,8,1,21,2828253,2833543,5,NA,933,1031,1920,2830866,2830887,9,"ESACC",1,-7,734.7,900.9,"Yes","No","No","Yes","No"
"106",1,33,1,22,2840255,2844429,1,NA,247,373,471,2840671,2840697,NA,"ESACC",1,-12,169.7,298.4,"Yes","Yes","Yes","No","No"
"107",1,33,1,22,2840255,2844429,2,NA,471,611,681,2841021,2841030,350,"ESACC",1,5,298.4,430.2,"Yes","No","No","Yes","No"
"108",1,33,1,22,2840255,2844429,3,NA,681,779,877,2841960,2841983,939,"ESACC",1,-9,498.9,681.1,"Yes","Yes","Yes","No","No"
"109",1,33,1,22,2840255,2844429,4,NA,877,1003,1045,2842519,2842534,559,"ESACC",1,-1,799.1,940.3,"Yes","Yes","Yes","No","No"
"110",1,33,1,22,2840255,2844429,5,NA,1045,1199,1920,2842873,2842904,354,"ESACC",1,-17,940.3,1128.8,"Yes","Yes","Yes","No","No"
"111",1,27,1,23,2849796,2854188,1,NA,233,317,373,2850146,2850157,NA,"ESACC",1,3,127.6,243.5,"Yes","Yes","Yes","No","No"
"112",1,27,1,23,2849796,2854188,2,NA,373,485,625,2850491,2850503,345,"ESACC",1,2,243.5,365.9,"Yes","No","No","Yes","No"
"113",1,27,1,23,2849796,2854188,3,NA,625,695,751,2851581,2851594,1090,"ESACC",1,1,541,661.5,"Yes","Yes","Yes","No","No"
"114",1,27,1,23,2849796,2854188,4,NA,751,821,863,2851767,2851781,186,"ESACC",2,0,661.5,730.1,"Yes","No","No","Yes","No"
"115",1,27,1,23,2849796,2854188,5,NA,863,975,1920,2851947,2851951,180,"ESACC",NA,10,730.1,843.2,"Yes","No","No","Yes","No"
"116",1,25,1,24,2855669,2859438,1,NA,177,303,359,2855883,2851951,NA,"ESACC",1,3946,98.6,172.5,"Yes","No","No","Yes","Yes"
"117",1,25,1,24,2855669,2859438,2,NA,359,457,527,2856535,2856545,652,"ESACC",2,4,179.8,397.8,"Yes","Yes","Yes","No","No"
"118",1,25,1,24,2855669,2859438,3,NA,527,597,653,2857623,2857718,1088,"ESACC",NA,-81,271.9,711.8,"Yes","No","No","No","No"
"119",1,25,1,24,2855669,2859438,4,NA,653,751,849,2857712,2857718,89,"ESACC",NA,8,271.9,711.8,"Yes","Yes","Yes","No","No"
"120",1,25,1,24,2855669,2859438,5,NA,849,975,1920,2858263,2858283,551,"ESACC",1,-6,629.7,812.3,"Yes","No","No","Yes","No"
"121",1,19,1,25,2860868,2864051,1,NA,177,275,373,2861084,2858283,NA,"ESACC",1,2815,62.2,152.5,"Yes","No","No","Yes","No"
"122",1,19,1,25,2860868,2864051,2,NA,373,485,555,2861500,2861515,416,"ESACC",1,-1,238.4,340.1,"Yes","No","No","Yes","No"
"123",1,19,1,25,2860868,2864051,3,NA,555,667,723,2862236,2862263,736,"ESACC",1,-13,389.1,606.9,"Yes","Yes","Yes","No","Yes"
"124",1,19,1,25,2860868,2864051,4,NA,723,835,919,2862827,2863038,591,"ESACC",NA,-197,606.9,1071.5,"Yes","No","No","No","No"
"125",1,19,1,25,2860868,2864051,5,NA,919,1003,1920,2862827,2863038,0,"ESACC",NA,-197,606.9,1071.5,"Yes","No","Yes","No","No"
"126",1,28,1,26,2866062,2870469,1,NA,219,331,387,2866477,2866485,NA,"ESACC",1,6,115.5,238.3,"Yes","Yes","Yes","No","No"
"127",1,28,1,26,2866062,2870469,2,NA,387,513,583,2867372,2867384,895,"ESACC",1,2,248.5,435.5,"Yes","Yes","Yes","No","No"
"128",1,28,1,26,2866062,2870469,3,NA,583,667,737,2867807,2867818,435,"ESACC",1,3,507.6,628.9,"Yes","Yes","Yes","No","No"
"129",1,28,1,26,2866062,2870469,4,NA,737,807,863,2868545,2868553,738,"ESACC",1,6,637.2,758,"Yes","Yes","Yes","No","No"
"130",1,28,1,26,2866062,2870469,5,NA,863,989,1920,2868928,2868938,383,"ESACC",4,4,836,907.4,"Yes","Yes","Yes","No","No"
"131",1,23,1,27,2872620,2875997,1,NA,219,317,401,2873103,2873110,NA,"ESACC",1,7,154.6,218.9,"Yes","Yes","Yes","No","No"
"132",1,23,1,27,2872620,2875997,2,NA,401,499,597,2873804,2873815,701,"ESACC",1,3,240.4,430.1,"Yes","Yes","Yes","No","No"
"133",1,23,1,27,2872620,2875997,3,NA,597,765,807,2874701,2874731,897,"ESACC",1,-16,578.9,715.4,"Yes","Yes","Yes","No","No"
"134",1,23,1,27,2872620,2875997,4,NA,807,961,1045,2874890,2874904,189,"ESACC",1,0,715.4,870.5,"Yes","Yes","Yes","No","No"
"135",1,23,1,27,2872620,2875997,5,NA,1045,1199,1920,2875385,2875396,495,"ESACC",1,3,981.3,1145.8,"Yes","Yes","Yes","No","No"
"136",1,7,1,28,2880062,2884633,1,NA,163,275,331,2880282,2875396,NA,"ESACC",1,4900,55.5,150.4,"Yes","No","No","Yes","No"
"137",1,7,1,28,2880062,2884633,2,NA,331,415,527,2881689,2881700,1407,"ESACC",1,3,186.3,351.3,"Yes","Yes","Yes","No","No"
"138",1,7,1,28,2880062,2884633,3,NA,527,625,667,2882268,2882278,579,"ESACC",1,4,451.4,541.2,"Yes","Yes","Yes","No","No"
"139",1,7,1,28,2880062,2884633,4,NA,667,779,835,2882798,2882810,530,"ESACC",1,2,616.4,717.3,"Yes","Yes","Yes","No","No"
"140",1,7,1,28,2880062,2884633,5,NA,835,947,1920,2883046,2883046,248,"EFIX",NA,14,717.3,826,"Yes","No","No","Yes","No"
"141",1,14,1,29,2889860,2894360,1,NA,261,331,387,2890782,2890791,NA,"ESACC",2,5,186.7,278.5,"Yes","Yes","Yes","No","No"
"142",1,14,1,29,2889860,2894360,2,NA,387,485,569,2891516,2891528,734,"ESACC",1,2,321.3,434.9,"Yes","Yes","Yes","No","No"
"143",1,14,1,29,2889860,2894360,3,NA,569,639,695,2891697,2891703,181,"ESACC",1,8,434.9,542.3,"Yes","No","No","Yes","No"
"144",1,14,1,29,2889860,2894360,4,NA,695,821,877,2892344,2892349,647,"ESACC",1,9,489,671.9,"Yes","No","No","Yes","No"
"145",1,14,1,29,2889860,2894360,5,NA,877,989,1920,2893000,2893030,656,"ESACC",NA,-16,611.5,977,"Yes","Yes","Yes","No","No"
"146",1,35,1,30,2896393,2898288,1,NA,149,219,317,2896635,2893030,NA,"ESACC",1,3619,75.9,135.7,"Yes","No","No","Yes","No"
"147",1,35,1,30,2896393,2898288,2,NA,317,443,485,2897017,2897038,382,"ESACC",1,-7,220.9,338.8,"Yes","Yes","Yes","No","No"
"148",1,35,1,30,2896393,2898288,3,NA,485,555,611,2897218,2897243,201,"ESACC",1,-11,338.8,539.6,"Yes","Yes","Yes","No","No"
"149",1,35,1,30,2896393,2898288,4,NA,611,695,751,2897468,2897479,250,"ESACC",NA,3,539.6,623.7,"Yes","Yes","Yes","No","No"
"150",1,35,1,30,2896393,2898288,5,NA,751,877,1920,2897629,2897642,161,"ESACC",1,1,623.7,814,"Yes","Yes","Yes","No","No"
"151",1,2,1,31,2902897,2907164,1,NA,317,401,457,2904021,2904051,NA,"ESACC",1,-16,242.3,429.1,"Yes","No","Yes","No","No"
"152",1,2,1,31,2902897,2907164,2,NA,457,541,611,2904029,2904051,8,"ESACC",1,-8,242.3,429.1,"Yes","No","No","Yes","No"
"153",1,2,1,31,2902897,2907164,3,NA,611,695,807,2905140,2905159,1111,"ESACC",2,-5,495.5,622.6,"Yes","Yes","Yes","No","No"
"154",1,2,1,31,2902897,2907164,4,NA,807,877,961,2905832,2905845,692,"ESACC",1,1,746.3,837.5,"Yes","Yes","Yes","No","No"
"155",1,2,1,31,2902897,2907164,5,NA,961,1073,1920,2906037,2906056,205,"ESACC",1,-5,837.5,970.9,"Yes","Yes","Yes","No","No"
"156",1,11,1,32,2915933,2919829,1,NA,205,331,387,2916158,2906056,NA,"ESACC",1,10116,79.7,163.5,"Yes","No","No","Yes","No"
"157",1,11,1,32,2915933,2919829,2,NA,387,485,597,2916735,2916746,577,"ESACC",2,3,270.6,409.6,"Yes","Yes","Yes","No","No"
"158",1,11,1,32,2915933,2919829,3,NA,597,681,737,2917363,2917380,628,"ESACC",1,-3,527.5,664.1,"Yes","Yes","Yes","No","No"
"159",1,11,1,32,2915933,2919829,4,NA,737,835,891,2917613,2917621,250,"ESACC",1,6,664.1,776.1,"Yes","Yes","Yes","No","No"
