item	word	Critical_word	Len	Zipf	 DomPoS	 FreqCount	 BNC_freq	Freq_mil
80	11	remain	6	4.66	 verb	9284	8996	46.1
81	5	whole	5	5.54	 adjective	70660	29860	351.0
81	7	writing	7	4.76	 verb	11724	11582	58.2
81	9	stories	7	4.87	 noun	15006	4757	74.5
81	11	another	7	5.79	 determiner	124464	58188	618.2
82	5	uncover	7	3.68	 verb	971	255	4.8
82	7	enormous	8	4.62	 adjective	8466	4206	42.0
82	9	treasure	8	4.46	 noun	5796	975	28.8
82	11	some	4	6.27	 determiner	379473	171368	1884.8
83	5	assignment	10	3.41	 noun	514	1157	2.6
83	7	prepared	8	4.82	 verb	13308	10442	66.1
83	9	good	4	6.35	 adjective	454018	80795	2255.0
83	11	before	6	5.88	 preposition	153732	88275	763.6
84	5	quickly	7	5.1	 adverb	25407	12384	126.2
84	7	gave	4	5.22	 verb	33809	22946	167.9
84	9	firefighters	12	3.72	 noun	1065	145	5.3
84	11	time	4	6.35	 noun	451369	154981	2241.9
85	5	case	4	5.43	 noun	54676	43284	271.6
85	7	barred	6	3.32	 verb	423	609	2.1
85	9	entering	8	4.02	 verb	2088	2253	10.4
85	11	courtroom	9	3.32	 noun	424	207	2.1
86	5	finally	7	5.14	 adverb	27806	13014	138.1
86	7	down	4	6.09	 preposition	247982	96025	1231.7
86	9	decades	7	4.43	 noun	5424	2473	26.9
86	11	digging	7	4.23	 noun	3394	964	16.9
87	5	clever	6	4.71	 adjective	10291	2357	51.1
87	7	difficult	9	5.4	 adjective	51162	22033	254.1
87	9	understand	10	5.32	 verb	42216	15502	209.7
87	11	most	4	5.86	 adverb	146261	98759	726.5
88	5	visiting	8	4.3	 verb	3980	3000	19.8
88	7	Museum	6	4.59	 noun	7902	6800	39.2
88	9	Natural	7	4.89	 adjective	15508	14315	77.0
88	11	during	6	5.18	 preposition	30343	44013	150.7
89	5	double	6	5.1	 adjective	25078	7935	124.6
89	7	pizza	5	4.25	 noun	3596	485	17.9
89	9	deciding	8	4.1	 verb	2531	2009	12.6
89	11	spend	5	5.13	 verb	27414	7502	136.2
90	5	time	4	6.35	 noun	451369	154981	2241.9
90	7	helping	7	4.85	 verb	14183	4388	70.4
90	9	parents	7	5.07	 noun	23699	16344	117.7
90	11	household	9	4.3	 noun	3982	3943	19.8
91	5	temporarily	11	3.5	 adverb	631	1287	3.1
91	7	following	9	4.88	 verb	15370	26987	76.3
91	9	health	6	5.14	 noun	27790	24649	138.0
91	11	safety	6	4.85	 noun	14142	8614	70.2
92	5	conference	10	4.63	 noun	8679	10066	43.1
92	7	mayor	5	4.39	 noun	4970	2264	24.7
92	9	plans	5	5	 noun	20078	11711	99.7
92	11	build	5	5.07	 verb	23468	7228	116.6
93	5	government	10	5.76	 noun	116509	62268	578.7
93	7	because	7	6.22	preposition	332401	85185	1651.0
93	9	signalled	9	3.25	 verb	354	650	1.8
93	11	possible	8	5.2	 adjective	31936	34178	158.6
94	5	built	5	5.1	 verb	25129	12872	124.8
94	7	donations	9	3.77	 noun	1189	734	5.9
94	9	companies	9	4.89	 noun	15557	17835	77.3
94	11	members	7	5.03	 noun	21812	29678	108.3
95	5	many	4	5.87	 adjective	149674	89660	743.4
95	7	dwellers	8	3.03	 noun	214	251	1.1
95	9	wanted	6	5.56	 verb	73344	23634	364.3
95	11	enjoy	5	5.05	 verb	22493	6582	111.7
96	5	final	5	5.46	 adjective	58771	15648	291.9
96	7	station	7	4.82	 noun	13170	10169	65.4
96	9	scrapped	8	3.66	 verb	925	313	4.6
96	11	historical	10	4.18	 adjective	3039	5558	15.1
97	5	technique	9	4.42	 noun	5244	4618	26.0
97	7	passing	7	4.43	 verb	5396	4800	26.8
97	9	ball	4	5.33	 noun	42777	7573	212.5
97	11	another	7	5.79	 determiner	124464	58188	618.2
98	5	recently	8	4.84	 adverb	13935	12304	69.2
98	7	thanks	6	5.43	 noun	54341	6238	269.9
98	9	funding	7	4.69	 noun	9954	4305	49.4
98	11	wealthy	7	4.13	 adjective	2728	1362	13.5
99	5	outside	7	5.32	 preposition	42170	21130	209.5
99	7	town	4	5.24	 noun	34678	18306	172.2
99	9	perfect	7	5.28	 adjective	38309	5778	190.3
99	11	mountain	8	4.64	 noun	8895	3961	44.2
100	5	required	8	4.4	 verb	5050	16413	25.1
100	7	diligently	10	2.54	 adverb	69	115	0.3
100	9	informed	8	4.08	 verb	2419	3883	12.0
100	11	doctor	6	5.02	 noun	21190	10496	105.2
101	5	lines	5	4.76	 noun	11634	10257	57.8
101	7	before	6	5.88	 preposition	153732	88275	763.6
101	9	school	6	5.45	 noun	57161	37541	283.9
101	11	which	5	6.26	 determiner	370900	372034	1842.2
102	5	impossible	10	4.61	 adjective	8194	7064	40.7
102	7	reach	5	4.81	 verb	13080	8126	65.0
102	9	helicopters	11	3.85	 noun	1426	442	7.1
102	11	could	5	6.27	 verb	375249	168392	1863.8
103	5	formed	6	4.35	 verb	4472	7060	22.2
103	7	hundreds	8	4.84	 noun	13977	4001	69.4
103	9	thousands	9	5.03	 noun	21396	5471	106.3
103	11	years	5	6	 noun	201824	90224	1002.4
104	5	turned	6	5.15	 verb	28415	24665	141.1
104	7	after	5	5.94	 preposition	175461	117138	871.5
104	9	groups	6	4.64	 noun	8880	19363	44.1
104	11	demonstrators	13	3.53	 noun	677	758	3.4
105	5	popular	7	4.91	 adjective	16480	10600	81.9
105	7	hikers	6	2.51	 noun	64	30	0.3
105	9	would	5	6.45	 verb	567763	255198	2820.0
105	11	camp	4	4.57	 noun	7538	3470	37.4
106	5	overpriced	10	2.78	 verb	121	82	0.6
106	7	many	4	5.87	 adjective	149674	89660	743.4
106	9	still	5	5.94	 adverb	175740	74773	872.9
106	11	tickets	7	4.49	 noun	6173	2620	30.7
107	5	convicted	9	4.1	 verb	2508	1510	12.5
107	7	insurance	9	4.59	 noun	7751	7062	38.5
107	9	after	5	5.94	 preposition	175461	117138	871.5
107	11	documents	9	4.16	 noun	2883	4456	14.3
108	5	made	4	5.91	 verb	162547	94386	807.3
108	7	easier	6	4.75	 adjective	11334	5930	56.3
108	9	bear	4	4.88	 noun	15194	5799	75.5
108	11	summer	6	5	 noun	20209	11346	100.4
109	5	decades	7	4.43	 noun	5424	2473	26.9
109	7	experience	10	5.15	 noun	28567	21374	141.9
109	9	making	6	5.56	 verb	72866	27769	361.9
109	11	deliveries	10	3.49	 noun	621	526	3.1
110	5	published	9	4.51	 verb	6550	10756	32.5
110	7	electronic	10	3.84	 adjective	1392	3422	6.9
110	9	because	7	6.22	 preposition	332401	85185	1651.0
110	11	readers	7	3.76	 noun	1164	4694	5.8
111	5	clothes	7	4.74	 noun	11012	7325	54.7
111	7	large	5	5.1	 adjective	25532	33771	126.8
111	9	stains	6	3.32	 noun	417	319	2.1
111	11	ruined	6	4.22	 verb	3326	1147	16.5
112	5	moved	5	4.98	 verb	19372	14575	96.2
112	7	another	7	5.79	 determiner	124464	58188	618.2
112	9	because	7	6.22	preposition	332401	85185	1651.0
112	11	restrictions	12	3.82	 noun	1328	2747	6.6
113	5	became	6	5.07	 verb	23942	22311	118.9
113	7	major	5	5.05	 adjective	22389	29088	111.2
113	9	when	4	6.34	 adverb	439946	214281	2185.1
113	11	thousand	8	5.03	 noun	21396	5471	106.3
114	5	closely	7	4.43	 adverb	5429	5524	27.0
114	7	because	7	6.22	 preposition	332401	85185	1651.0
114	9	contained	9	4.02	 verb	2123	4967	10.5
114	11	oldest	6	4.36	 adjective	4566	1474	22.7
115	5	received	8	4.65	 verb	8989	13276	44.6
115	7	reviews	7	3.8	 noun	1275	1371	6.3
115	9	film	4	5.26	 noun	36996	10228	183.8
115	11	compared	8	4.51	 verb	6501	8825	32.3
116	5	long	4	5.8	 adjective	128115	51479	636.3
116	7	various	7	4.56	 adjective	7249	15503	36.0
116	9	spices	6	3.98	 noun	1907	302	9.5
116	11	exported	8	3.41	 verb	522	579	2.6
117	5	found	5	5.58	 verb	76810	48923	381.5
117	7	children	8	5.53	 noun	68015	46608	337.8
117	9	near	4	5.08	 preposition	23956	17490	119.0
117	11	rapid	5	3.88	 adjective	1524	3605	7.6
118	5	long	4	5.8	 adjective	128115	51479	636.3
118	7	because	7	6.22	preposition	332401	85185	1651.0
118	9	residents	9	4.43	 noun	5484	3466	27.2
118	11	moved	5	4.98	 verb	19372	14575	96.2
119	5	mostly	6	4.37	 adverb	4686	3947	23.3
119	7	during	6	5.18	 preposition	30343	44013	150.7
119	9	long	4	5.8	 adjective	128115	51479	636.3
119	11	months	6	5.36	 noun	46361	24818	230.3
120	5	plans	5	5	 noun	20078	11711	99.7
120	7	invest	6	4.35	 verb	4544	1591	22.6
120	9	nuclear	7	4.57	 adjective	7496	8130	37.2
120	11	plants	6	4.73	 noun	10889	7225	54.1
